loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_disc,st_glon,st_glat,st_radv,st_radverr1,st_radverr2,st_radvlim
3081,Kepler-604,b,Kepler-604 b,Transit,25.85501786,0.00009434,-0.00009434,0,,,,,,,,,,,,,,,,,0.231,0.044,-0.024,0,19h29m15.84s,292.316017,+42d37m34.5s,42.626255,981.00,186.35,-110.47,0,14.718,,0,5890.00,174.40,-159.73,0,1.02,0.08,-0.07,0,1.03,0.19,-0.11,0,2016-05-10,,,,,2016,75.120226,11.607709,,,,
3082,Kepler-605,b,Kepler-605 b,Transit,3.38353807,0.00000511,-0.00000511,0,,,,,,,,,,,,,,,,,0.128,0.015,-0.008,0,19h09m10.90s,287.295436,+43d16m47.5s,43.279873,570.00,63.27,-36.29,0,14.140,,0,5462.00,67.28,-73.73,0,0.91,0.04,-0.04,0,0.88,0.10,-0.05,0,2016-05-10,,,,,2016,74.149732,15.218072,,,,
3083,Kepler-605,c,Kepler-605 c,Transit,2.35895152,0.00000837,-0.00000837,0,,,,,,,,,,,,,,,,,0.077,0.010,-0.005,0,19h09m10.90s,287.295436,+43d16m47.5s,43.279873,570.00,63.27,-36.29,0,14.140,,0,5462.00,67.28,-73.73,0,0.91,0.04,-0.04,0,0.88,0.10,-0.05,0,2016-05-10,,,,,2016,74.149732,15.218072,,,,
3084,Kepler-606,b,Kepler-606 b,Transit,24.31575992,0.00007998,-0.00007998,0,,,,,,,,,,,,,,,,,0.295,0.113,-0.045,0,19h29m42.57s,292.427378,+44d22m52.6s,44.381268,1208.00,449.42,-196.86,0,14.686,,0,6161.00,194.78,-227.56,0,1.13,0.17,-0.10,0,1.22,0.45,-0.18,0,2016-05-10,,,,,2016,76.766286,12.310178,,,,
3085,Kepler-607,b,Kepler-607 b,Transit,0.63816320,0.00000168,-0.00000168,0,,,,,,,,,,,,,,,,,0.078,0.005,-0.006,0,19h24m13.73s,291.057206,+44d37m56.6s,44.632381,500.00,33.43,-30.29,0,14.405,,0,5196.00,94.48,-118.36,0,0.84,0.04,-0.04,0,0.80,0.05,-0.04,0,2016-05-10,,,,,2016,76.565324,13.299862,,,,
3086,Kepler-608,b,Kepler-608 b,Transit,6.41251504,0.00000542,-0.00000542,0,,,,,,,,,,,,,,,,,0.325,0.064,-0.039,0,19h35m31.90s,293.882931,+44d38m17.1s,44.638096,926.00,188.21,-111.78,0,14.684,,0,5820.00,226.58,-187.94,0,1.00,0.09,-0.07,0,1.01,0.20,-0.11,0,2016-05-10,,,,,2016,77.474584,11.495906,,,,
3087,Kepler-609,b,Kepler-609 b,Transit,6.52121067,0.00000864,-0.00000864,0,,,,,,,,,,,,,,,,,0.299,0.095,-0.039,0,19h28m52.88s,292.220313,+44d42m00.1s,44.700031,1143.00,346.08,-153.04,0,14.856,,0,5971.00,125.14,-171.10,0,1.09,0.09,-0.08,0,1.14,0.35,-0.14,0,2016-05-10,,,,,2016,76.993562,12.582459,,,,
3088,Kepler-61,b,Kepler-61 b,Transit,59.87756000,0.00020000,-0.00020000,0,,,,,0.250000,,,1,89.800,,,-1,,,,,0.192,0.012,-0.012,0,19h41m13.08s,295.304508,+42d28m31.0s,42.475290,314.00,13.24,-15.61,0,14.995,,0,4017.00,68.00,-150.00,0,0.64,0.04,-0.04,0,0.62,0.02,-0.05,0,2014-05-14,273,13,-13,0,2013,76.009610,9.581639,,,,
3089,Kepler-610,b,Kepler-610 b,Transit,6.99692655,0.00000559,-0.00000559,0,,,,,,,,,,,,,,,,,0.374,0.103,-0.040,0,19h32m41.12s,293.171343,+45d03m56.2s,45.065605,1113.00,302.95,-122.19,0,14.807,,0,5943.00,91.96,-127.26,0,1.10,0.09,-0.07,0,1.13,0.31,-0.12,0,2016-05-10,,,,,2016,77.633463,12.138606,,,,
3090,Kepler-610,c,Kepler-610 c,Transit,151.86392000,0.00111800,-0.00111800,0,,,,,,,,,,,,,,,,,0.294,0.075,-0.033,0,19h32m41.12s,293.171343,+45d03m56.2s,45.065605,1113.00,302.95,-122.19,0,14.807,,0,5943.00,91.96,-127.26,0,1.10,0.09,-0.07,0,1.13,0.31,-0.12,0,2016-05-10,,,,,2016,77.633463,12.138606,,,,
3091,Kepler-611,b,Kepler-611 b,Transit,2.43703330,0.00000503,-0.00000503,0,,,,,,,,,,,,,,,,,0.147,0.045,-0.013,0,19h04m01.19s,286.004962,+45d28m49.4s,45.480392,906.00,215.68,-80.72,0,14.573,,0,5761.00,64.93,-69.42,0,1.01,0.05,-0.05,0,1.01,0.24,-0.09,0,2016-05-10,,,,,2016,75.899610,16.910766,,,,
3092,Kepler-612,b,Kepler-612 b,Transit,3.72215641,0.00000376,-0.00000376,0,,,,,,,,,,,,,,,,,0.253,0.059,-0.024,0,19h25m25.11s,291.354639,+45d44m52.4s,45.747898,932.00,168.23,-78.85,0,14.911,,0,5693.00,92.70,-129.13,0,0.98,0.05,-0.05,0,0.96,0.17,-0.08,0,2016-05-10,,,,,2016,77.695236,13.583781,,,,
3093,Kepler-613,b,Kepler-613 b,Transit,15.77979614,0.00004258,-0.00004258,0,,,,,,,,,,,,,,,,,0.204,0.036,-0.015,0,18h51m08.84s,282.786824,+46d14m42.0s,46.244992,864.00,150.34,-69.42,0,14.608,,0,5723.00,68.68,-67.42,0,0.98,0.05,-0.05,0,0.96,0.17,-0.07,0,2016-05-10,,,,,2016,75.822542,19.277316,,,,
3094,Kepler-614,b,Kepler-614 b,Transit,14.03491514,0.00002597,-0.00002597,0,,,,,,,,,,,,,,,,,0.213,0.018,-0.015,0,19h53m32.36s,298.384823,+46d16m33.8s,46.276043,571.00,51.74,-39.17,0,14.574,,0,5268.00,186.36,-125.95,0,0.85,0.05,-0.05,0,0.81,0.07,-0.05,0,2016-05-10,,,,,2016,80.461777,9.490159,,,,
3095,Kepler-615,b,Kepler-615 b,Transit,10.35584657,0.00001854,-0.00001854,0,,,,,,,,,,,,,,,,,0.155,0.008,-0.009,0,18h49m48.14s,282.450603,+46d19m17.1s,46.321404,330.00,14.56,-19.99,0,14.337,,0,4655.00,41.24,-43.29,0,0.73,0.04,-0.04,0,0.69,0.03,-0.04,0,2016-05-10,,,,,2016,75.817383,19.521869,,,,
3096,Kepler-616,b,Kepler-616 b,Transit,9.99761851,0.00002138,-0.00002138,0,,,,,,,,,,,,,,,,,0.217,0.029,-0.018,0,19h39m57.39s,294.989131,+46d50m18.0s,46.838329,1019.00,139.79,-87.23,0,14.957,,0,5753.00,133.18,-101.52,0,0.98,0.06,-0.05,0,0.97,0.13,-0.08,0,2016-05-10,,,,,2016,79.833531,11.810961,,,,
3097,Kepler-616,c,Kepler-616 c,Transit,90.41135560,0.00045220,-0.00045220,0,,,,,,,,,,,,,,,,,0.304,0.051,-0.027,0,19h39m57.39s,294.989131,+46d50m18.0s,46.838329,1019.00,139.79,-87.23,0,14.957,,0,5753.00,133.18,-101.52,0,0.98,0.06,-0.05,0,0.97,0.13,-0.08,0,2016-05-10,,,,,2016,79.833531,11.810961,,,,
3098,Kepler-617,b,Kepler-617 b,Transit,1.68269615,0.00000111,-0.00000111,0,,,,,,,,,,,,,,,,,0.118,0.006,-0.006,0,18h54m57.77s,283.740710,+47d30m58.7s,47.516293,150.00,10.36,-10.31,0,14.818,,0,3712.00,33.92,-33.35,0,0.51,0.02,-0.03,0,0.48,0.02,-0.03,0,2016-05-10,,,,,2016,77.322016,19.088676,,,,
