loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_disc,st_glon,st_glat,st_radv,st_radverr1,st_radverr2,st_radvlim
1,11 Com,b,11 Com b,Radial Velocity,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,0.231000,0.005000,-0.005000,0,,,,,19.40000,1.50000,-1.50000,0,,,,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0,4.740,,0,4742.00,100.00,-100.00,0,2.70,0.30,-0.30,0,19.00,2.00,-2.00,0,2014-05-14,,,,,2007,264.140892,78.280522,43.37,0.21,-0.21,0
2,11 UMi,b,11 UMi b,Radial Velocity,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,,,,0,14.74000,2.50000,-2.50000,0,,,,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0,5.016,0.009,0,4213.00,46.00,-46.00,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,2018-09-06,,,,0,2009,108.718982,41.044516,-17.52,0.15,-0.15,0
3,14 And,b,14 And b,Radial Velocity,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,,,,,4.80000,,,0,,,,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0,5.227,0.009,0,4813.00,20.00,-20.00,0,2.20,0.10,-0.20,0,11.00,1.00,-1.00,0,2014-05-14,,,,,2008,106.411558,-21.050610,-59.73,0.31,-0.31,0
4,14 Her,b,14 Her b,Radial Velocity,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,0.370000,0.000000,0.000000,0,,,,0,4.66000,0.15000,-0.15000,0,,,,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0,6.610,0.020,0,5338.00,25.00,-25.00,0,0.90,0.04,-0.04,0,0.93,0.01,-0.01,0,2018-09-06,,,,0,2002,69.170376,46.944999,,,,
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,0.680000,0.020000,-0.020000,0,,,,0,1.78000,0.08000,-0.08000,0,,,,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0,6.250,,0,5750.00,8.00,-8.00,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,2018-09-06,,,,0,1996,83.336460,13.204352,-28.10,0.10,-0.10,0
6,18 Del,b,18 Del b,Radial Velocity,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,0.080000,0.010000,-0.010000,0,,,,,10.30000,,,0,,,,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0,5.506,0.009,0,4979.00,18.00,-18.00,0,2.30,,,0,8.50,,,0,2014-05-14,,,,,2008,58.691434,-21.974824,4.35,0.15,-0.15,0
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,,,,,330.000000,,,0,,,,,,,,,8.00000,1.00000,-1.00000,0,,,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,14.00,-14.00,0,,,,4060.00,300.00,-200.00,0,0.85,0.20,-0.10,0,,,,,2015-04-01,1700,100,-100,0,2008,352.890560,22.030427,,,,
8,24 Boo,b,24 Boo b,Radial Velocity,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,0.042000,0.048000,-0.029000,0,,,,0,0.91000,0.13000,-0.10000,0,,,,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0,5.580,,0,4893.00,15.00,-15.00,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,2018-04-26,,,,0,2018,90.162223,60.643666,-7.77,0.15,-0.15,0
9,24 Sex,b,24 Sex b,Radial Velocity,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,1.99000,0.26000,-0.38000,0,,,,,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,6.441,0.010,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,2014-05-14,,,,,2010,245.085309,44.715734,7.29,0.18,-0.18,0
10,24 Sex,c,24 Sex c,Radial Velocity,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,0.86000,0.35000,-0.22000,0,,,,,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,6.441,0.010,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,2014-05-14,,,,,2010,245.085309,44.715734,7.29,0.18,-0.18,0
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,24.50000,2.50000,-2.50000,0,,,,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,4.00,-4.00,0,14.240,0.070,0,3530.00,50.00,-50.00,0,0.40,0.05,-0.05,0,,,,,2014-05-14,,,,,2013,195.448768,-82.520165,9.60,0.70,-0.70,0
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,,,,,156.000000,10.000000,-10.000000,0,,,,,,,,,13.90000,1.10000,-1.10000,0,1.440,0.030,-0.030,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,2.60,-2.60,0,,,,3064.00,76.00,-76.00,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,2015-05-14,,,,,2015,252.453768,-67.984453,10.60,0.70,-0.70,0
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,,,,,15.000000,,,0,,,,,,,,,7.50000,2.50000,-2.50000,0,,,,,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,,0,,,,,,,,0.02,,,0,,,,,2014-05-14,,,,,2010,176.510593,-15.114249,,,,
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,4.00000,1.00000,-1.00000,0,,,,,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.40,1.10,-1.10,0,20.150,0.190,0,,,,,0.02,,,0,,,,,2014-05-14,1150,150,-150,0,2004,293.790363,22.543297,,,,
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,,,,,1.90000,0.10000,-0.10000,0,,,,,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,396.36,6.38,-6.20,0,12.264,,0,,,,,0.48,0.03,-0.03,0,,,,,2015-06-04,,,,,2015,79.018713,11.674389,,,,
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,46.200,2.500,-8.700,0,20.95000,83.79000,-20.95000,0,0.920,0.390,-0.360,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,10.00,-10.00,0,,,,2300.00,80.00,-80.00,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,2014-05-14,2075,70,-70,0,2009,70.485103,-26.437255,13.00,0.20,-0.20,0
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,12.50000,1.50000,-1.50000,0,,,,,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,10.00,-10.00,0,12.510,0.030,0,4045.00,35.00,-35.00,0,0.60,0.05,-0.05,0,,,,,2016-11-10,,,,,2016,100.748288,-9.108906,-21.50,0.20,-0.20,0
18,30 Ari B,b,30 Ari B b,Radial Velocity,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,0.290000,0.090000,-0.090000,0,,,,0,13.82000,1.80000,-1.80000,0,,,,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,0.10,-0.10,0,6.962,0.011,0,6331.00,61.00,-61.00,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,2018-09-06,,,,0,2009,151.476148,-32.309491,17.20,1.80,-1.80,0
19,4 UMa,b,4 UMa b,Radial Velocity,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,,,,,7.10000,1.60000,-1.60000,0,,,,,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,1.18,-1.18,0,4.610,,0,4415.00,70.00,-70.00,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,2014-05-14,,,,,2006,151.358914,35.956900,14.62,0.14,-0.14,0
20,42 Dra,b,42 Dra b,Radial Velocity,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,,,,,3.88000,0.85000,-0.85000,0,,,,,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,1.32,-1.32,0,4.820,,0,4200.00,70.00,-70.00,0,0.98,0.05,-0.05,0,22.03,1.00,-1.00,0,2014-05-14,,,,,2008,95.419171,27.125611,31.79,0.32,-0.32,0
21,47 UMa,b,47 UMa b,Radial Velocity,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,2.53000,0.07000,-0.06000,0,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,0.03,-0.03,0,5.050,,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,,,,,1996,175.782531,63.369127,11.10,0.10,-0.10,0
22,47 UMa,c,47 UMa c,Radial Velocity,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,0.54000,0.06600,-0.07300,0,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,0.03,-0.03,0,5.050,,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,,,,,2001,175.782531,63.369127,11.10,0.10,-0.10,0
23,47 UMa,d,47 UMa d,Radial Velocity,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,1.64000,0.29000,-0.48000,0,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,0.03,-0.03,0,5.050,,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,,,,,2009,175.782531,63.369127,11.10,0.10,-0.10,0
24,51 Eri,b,51 Eri b,Imaging,,,,0,13.200000,0.200000,-0.200000,0,,,,,,,,,2.00000,,,0,,,,,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,0.30,-0.30,0,5.230,,0,,,,,1.75,0.05,-0.05,0,,,,,2015-08-14,700,,,0,2015,198.612620,-30.657612,17.30,3.00,-3.00,0
25,51 Peg,b,51 Peg b,Radial Velocity,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,0.47200,0.03900,-0.03900,0,,,,,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,0.03,-0.03,0,5.500,,0,5793.00,70.00,-70.00,0,1.12,0.06,-0.06,0,1.20,,,0,2014-05-14,,,,,1995,90.062611,-34.727214,-33.25,0.00,0.00,0
26,55 Cnc,b,55 Cnc b,Radial Velocity,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,90.000,,,0,0.83060,0.00330,-0.00330,0,,,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5.960,0.010,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,,,,,1996,196.794709,37.698968,27.40,,,0
27,55 Cnc,c,55 Cnc c,Radial Velocity,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,90.000,,,0,0.17140,0.00550,-0.00550,0,,,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5.960,0.010,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,,,,,2004,196.794709,37.698968,27.40,,,0
28,55 Cnc,d,55 Cnc d,Radial Velocity,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,90.000,,,0,3.87800,0.06800,-0.06800,0,,,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5.960,0.010,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,,,,,2002,196.794709,37.698968,27.40,,,0
29,55 Cnc,e,55 Cnc e,Radial Velocity,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,,,,0,83.300,0.900,-0.800,0,0.02542,0.00098,-0.00098,0,0.170,0.007,-0.007,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5.960,0.010,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2019-01-31,,,,0,2004,196.794709,37.698968,27.40,,,0
30,55 Cnc,f,55 Cnc f,Radial Velocity,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,90.000,,,0,0.14100,0.01200,-0.01200,0,,,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5.960,0.010,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,,,,,2007,196.794709,37.698968,27.40,,,0
31,6 Lyn,b,6 Lyn b,Radial Velocity,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,0.073000,0.036000,-0.036000,0,,,,0,2.01000,0.07700,-0.07700,0,,,,,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,0.27,-0.27,0,5.860,,0,4938.00,,,0,1.44,,,0,5.20,,,0,2018-12-06,,,,0,2008,156.971465,20.189874,39.70,0.13,-0.13,0
32,61 Vir,b,61 Vir b,Radial Velocity,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,,,,,0.01600,0.00200,-0.00200,0,,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,4.740,,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2014-05-14,,,,,2009,311.859025,44.092637,-8.20,0.10,-0.10,0
33,61 Vir,c,61 Vir c,Radial Velocity,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,0.05700,0.00300,-0.00300,0,,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,4.740,,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2014-05-14,,,,,2009,311.859025,44.092637,-8.20,0.10,-0.10,0
34,61 Vir,d,61 Vir d,Radial Velocity,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,,,,,0.07200,0.00800,-0.00800,0,,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,4.740,,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2014-05-14,,,,,2009,311.859025,44.092637,-8.20,0.10,-0.10,0
35,7 CMa,b,7 CMa b,Radial Velocity,796.00000000,7.40000000,-7.40000000,0,1.930000,0.010000,-0.010000,0,0.220000,0.070000,-0.070000,0,,,,,2.46000,0.14000,-0.14000,0,,,,,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0,3.920,,0,4792.00,100.00,-100.00,0,1.52,0.30,-0.30,0,2.30,0.10,-0.10,0,2015-10-22,,,,,2011,228.688399,-11.796021,,,,
36,70 Vir,b,70 Vir b,Radial Velocity,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,0.398800,0.001900,-0.001900,0,,,,0,7.41600,0.05700,-0.05700,0,,,,,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,0.06,-0.06,0,4.970,,0,5495.00,,,0,1.09,,,0,1.89,,,0,2018-12-06,,,,0,1996,337.665279,74.100664,4.60,0.10,-0.10,0
37,75 Cet,b,75 Cet b,Radial Velocity,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,0.117000,0.048000,-0.048000,0,,,,,3.00000,,,0,,,,,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,0.72,-0.72,0,5.350,,0,4846.00,18.00,-18.00,0,2.49,0.02,-0.27,0,10.50,1.00,-1.00,0,2015-09-03,,,,,2012,169.944194,-54.441590,-6.21,0.13,-0.13,0
38,8 UMi,b,8 UMi b,Radial Velocity,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,0.060000,0.090000,-0.090000,0,,,,0,1.31000,0.16000,-0.16000,0,,,,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.10,11.00,-11.00,0,6.830,,0,4847.00,7.00,-7.00,0,1.44,0.19,-0.19,0,10.30,0.57,-0.57,0,2018-09-06,,,,0,2015,112.794978,39.661130,-9.20,0.14,-0.14,0
39,81 Cet,b,81 Cet b,Radial Velocity,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,,,,,5.30000,,,0,,,,,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,1.22,-1.22,0,5.650,,0,4785.00,25.00,-25.00,0,2.40,0.10,-0.40,0,11.00,2.00,-1.00,0,2014-05-14,,,,,2008,174.486548,-55.249930,9.25,0.13,-0.13,0
40,91 Aqr,b,91 Aqr b,Radial Velocity,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,0.027000,0.026000,-0.026000,0,,,,,3.20000,,,0,,,,,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,44.08,0.51,-0.51,0,4.250,,0,4665.00,18.00,-18.00,0,1.40,0.10,-0.10,0,11.00,0.10,-0.10,0,2014-05-14,,,,,2013,67.071988,-61.112023,-25.75,0.07,-0.07,0
41,AB Pic,b,AB Pic b,Imaging,,,,,260.000000,,,0,,,,,,,,,13.50000,0.50000,-0.50000,0,,,,,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,50.12,0.07,-0.07,0,9.128,0.019,0,,,,,,,,,,,,,2014-05-14,,,,,2005,266.943713,-26.930799,22.20,0.30,-0.30,0
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,0.200000,0.120000,-0.080000,0,,,,,6.40000,1.30000,-1.30000,0,,,,,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618.00,564.00,-564.00,0,9.580,0.010,0,4095.00,20.00,-20.00,0,1.14,0.25,-0.25,0,32.35,8.82,-8.82,0,2017-06-15,,,,,2017,269.325351,61.573487,50.88,0.06,-0.06,0
43,BD+14 4559,b,BD+14 4559 b,Radial Velocity,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,0.290000,0.030000,-0.030000,0,,,,0,1.04000,0.47000,-0.47000,0,,,,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,0.08,-0.08,0,9.630,0.012,0,4864.00,101.00,-101.00,0,0.49,0.33,-0.33,0,0.86,0.04,-0.04,0,2018-09-06,,,,0,2009,64.417655,-22.630868,-44.30,0.30,-0.30,0
44,BD+15 2375,b,BD+15 2375 b,Radial Velocity,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,0.001000,0.250000,-0.001000,0,,,,,1.06100,0.27000,-0.27000,0,,,,,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,165.00,-165.00,0,10.310,0.023,0,4649.00,30.00,-30.00,0,1.08,0.14,-0.14,0,8.95,1.45,-1.45,0,2016-02-04,,,,,2016,249.002386,70.272589,-9.65,0.03,-0.03,0
45,BD+15 2940,b,BD+15 2940 b,Radial Velocity,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,0.260000,0.100000,-0.100000,0,,,,,1.11000,,,0,,,,,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,431.61,6.55,-6.55,0,9.046,0.021,0,4796.00,117.00,-117.00,0,1.10,0.20,-0.20,0,14.70,2.80,-2.80,0,2014-05-14,,,,,2013,28.104434,44.780297,36.71,0.16,-0.16,0
46,BD+20 2457,b,BD+20 2457 b,Radial Velocity,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,0.150000,0.030000,-0.030000,0,,,,0,55.59000,78.55000,-78.55000,0,,,,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,200.00,,-168.25,0,9.750,,0,4259.00,64.00,-64.00,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,2018-09-06,,,,0,2009,216.044637,53.952466,145.77,0.19,-0.19,0
47,BD+20 2457,c,BD+20 2457 c,Radial Velocity,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,0.180000,0.060000,-0.060000,0,,,,,12.47000,,,0,,,,,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,200.00,,-168.25,0,9.750,,0,4259.00,64.00,-64.00,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,2014-05-14,,,,,2009,216.044637,53.952466,145.77,0.19,-0.19,0
48,BD+20 274,b,BD+20 274 b,Radial Velocity,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,0.210000,0.060000,-0.060000,0,,,,,4.20000,,,0,,,,,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,86.64,-86.64,0,9.360,,0,4296.00,10.00,-10.00,0,0.80,0.20,-0.20,0,17.30,0.90,-0.90,0,2015-09-18,,,,,2012,138.974211,-40.233372,8.39,0.38,-0.38,0
49,BD+20 594,b,BD+20 594 b,Transit,41.68550000,0.00300000,-0.00300000,0,,,,0,0.000000,,,0,89.550,0.160,-0.160,0,0.07000,0.03000,-0.03000,0,0.230,0.010,-0.010,0,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,1.25,-1.25,0,11.038,0.047,0,5766.00,99.00,-99.00,0,1.67,0.40,-0.40,0,1.08,0.06,-0.06,0,2018-04-26,,,,0,2016,166.796349,-28.053358,-20.34,0.00,0.00,0
50,BD+48 738,b,BD+48 738 b,Radial Velocity,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,0.200000,0.100000,-0.100000,0,,,,,0.91000,,,0,,,,,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,892.17,44.78,-44.78,0,9.140,,0,4414.00,15.00,-15.00,0,0.74,0.39,-0.39,0,11.00,1.00,-1.00,0,2015-08-13,,,,,2011,140.808446,-9.378616,-5.81,0.26,-0.26,0
51,BD+48 740,b,BD+48 740 b,Radial Velocity,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,0.760000,0.050000,-0.090000,0,,,,0,1.70000,0.70000,-0.70000,0,,,,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,22.15,-22.15,0,8.699,0.015,0,4534.00,8.00,-8.00,0,1.09,0.16,-0.16,0,10.33,1.81,-1.81,0,2018-02-01,,,,0,2018,141.109069,-9.965250,-45.93,0.00,0.00,0
52,BD+49 828,b,BD+49 828 b,Radial Velocity,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,0.350000,0.240000,-0.100000,0,,,,,1.60000,0.40000,-0.20000,0,,,,,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,7.79,-7.79,0,9.380,0.020,0,4943.00,30.00,-30.00,0,1.52,0.22,-0.22,0,7.60,1.30,-1.30,0,2015-02-05,,,,,2015,143.617860,-7.801619,3.61,0.26,-0.26,0
53,BD-06 1339,b,BD-06 1339 b,Radial Velocity,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,0.000000,,,0,,,,,0.02700,0.00400,-0.00400,0,,,,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,0.02,-0.02,0,9.700,0.009,0,4324.00,100.00,-100.00,0,0.70,,,0,,,,,2014-05-14,,,,,2013,211.656623,-15.715292,23.62,0.00,0.00,0
54,BD-06 1339,c,BD-06 1339 c,Radial Velocity,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,0.310000,0.110000,-0.110000,0,,,,,0.17000,0.03000,-0.03000,0,,,,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,0.02,-0.02,0,9.700,0.009,0,4324.00,100.00,-100.00,0,0.70,,,0,,,,,2014-05-14,,,,,2013,211.656623,-15.715292,23.62,0.00,0.00,0
55,BD-08 2823,b,BD-08 2823 b,Radial Velocity,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,0.150000,0.150000,-0.150000,0,,,,0,0.04000,0.01000,-0.01000,0,,,,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,0.07,-0.07,0,9.880,0.043,0,4816.00,114.00,-114.00,0,0.50,0.26,-0.26,0,0.71,0.04,-0.04,0,2018-09-06,,,,0,2009,248.496598,34.756008,53.34,0.00,0.00,0
56,BD-08 2823,c,BD-08 2823 c,Radial Velocity,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,0.190000,0.090000,-0.090000,0,,,,,0.33000,0.03000,-0.03000,0,,,,,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,0.07,-0.07,0,9.880,0.043,0,4816.00,114.00,-114.00,0,0.50,0.26,-0.26,0,0.71,0.04,-0.04,0,2014-05-14,,,,,2009,248.496598,34.756008,53.34,0.00,0.00,0
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,0.020000,0.020000,-0.020000,0,,,,0,0.59000,0.07000,-0.07000,0,,,,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80.00,10.00,-10.00,0,10.080,,0,5393.00,44.00,-44.00,0,1.47,0.24,-0.24,0,0.91,0.04,-0.04,0,2018-09-06,,,,0,2000,263.285621,43.238484,26.40,2.00,-2.00,0
